goos: darwin
goarch: arm64
pkg: github.com/gregfurman/micropython-go
cpu: Apple M3 Pro
BenchmarkCallable/operation=get-12          	       5	      2058 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2483 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2367 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1975 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2050 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2358 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2117 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2075 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1900 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1900 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2183 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2042 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2217 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1950 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2333 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2175 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2000 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2092 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1900 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2300 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2017 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2050 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1892 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1983 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1950 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1942 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1967 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2283 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2542 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2158 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1967 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1933 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2033 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1975 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1925 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1950 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1917 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1850 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1867 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1825 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1950 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1917 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1883 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1842 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2250 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1850 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1908 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1850 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1808 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1925 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1850 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1892 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1817 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2075 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2408 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2408 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1950 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1908 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2483 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2367 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1808 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2392 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2442 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2292 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2000 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2442 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1850 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2433 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1767 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2042 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2000 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2108 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1783 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1833 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2450 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2408 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2292 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2483 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2383 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1792 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2533 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2342 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2033 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1808 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2400 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2075 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2433 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1958 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1867 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1900 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2375 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2333 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2025 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1950 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      1875 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=get-12          	       5	      2292 ns/op	     601 B/op	      16 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	     36125 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      4867 ns/op	     768 B/op	      10 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      4150 ns/op	     822 B/op	      11 allocs/op
BenchmarkCallable/operation=call_ref-12     	       5	      3842 ns/op	     822 B/op	      11 allocs/op
